clus,pois,latitude,longitude,time,categories
14,Piazza_Navona;Obelisco_Agonale;Chiesa_di_Sant'Agnese_in_Agone;Fontana_dei_Quattro_Fiumi,41.89877222,12.47255833,431.4951168,romar.viparione;architetturebarocchediroma;piazzediroma;disposizionifonichediorganiacanne;chiesediromadelxviisecolo;chiesetitolaridiroma;obelischidiroma;romar.viparione;architetturebarocchediroma;romar.viparione;fontanediroma;chiesediroma;sculturearoma
15,Bocca_della_Verità;Basilica_di_Santa_Maria_in_Cosmedin,41.88805556,12.48166667,304.9179331,architettureantichediroma;edificidicultodedicatiamaria;basilichediroma;sculturearoma;chiesediroma;romar.xiiripa;chiesetitolaridiroma;monumentidiroma
16,Villa_Farnesina,41.89361111,12.4675,632.4193548,villediroma
17,Basilica_di_Santa_Croce_in_Gerusalemme,41.88777778,12.51638889,356.1,chiesetitolaridiroma;basilicheminoridiroma;abbaziedellazio;disposizionifonichediorganiacanne;chiesediroma
18,Piazza_Venezia,41.89638889,12.4825,240,romar.xcampitelli;romar.ixpigna;piazzediroma;romar.iitrevi
19,Palazzo_Barberini;Mitreo_Barberini;Galleria_nazionale_d'arte_antica;Istituto_italiano_di_numismatica,41.90361111,12.49027778,651.9099099,caseeditriciitaliane;palazzidiroma;romar.iitrevi;architetturebarocchediroma;museidiroma;museidiroma;romar.iitrevi;associazioninumismatiche;mitreidiroma
20,Saint_Andrew's_Church_of_Scotland,41.90305556,12.49166667,240,chiesediroma;edificidicultoprotestantediroma;edificidicultopresbiteriano;chiesediromadelxixsecolo
21,Basilica_di_Sant'Agostino_in_Campo_Marzio,41.90083333,12.47416667,240,chieserinascimentali;chiesetitolaridiroma;chiesediroma;disposizionifonichediorganiacanne;basilichediroma;architetturerinascimentalidiroma;chiesediromadelxvsecolo
22,Piazza_del_Popolo_(Roma);Obelisco_Flaminio,41.91071111,12.47635556,408.622458,romar.ivcampomarzio;romar.ivcampomarzio;piazzediroma;obelischidiroma
23,Cinecittà,41.85022778,12.57524167,378.4230769,cinemaaroma;romaq.xxivdonbosco
24,Palazzo_Borghese,41.90388889,12.47638889,240,romar.ivcampomarzio;palazzidiroma
25,Palazzo_della_Cancelleria;Basilica_di_San_Lorenzo_in_Damaso,41.89686667,12.47171667,433.8659218,basilichediroma;chiesetitolaridiroma;chiesediroma;palazzidiroma;romar.viparione;disposizionifonichediorganiacanne;architetturerinascimentalidiroma
26,Palazzo_Spada,41.89402778,12.47180556,369.6037736,palazzidiroma;architetturebarocchediroma;romar.viiregola
27,Basilica_dei_Santi_Quattro_Coronati,41.88833333,12.49833333,299.8392857,chiesetitolaridiroma;basilichediroma;chiesediroma
28,Capitolium_Vetus;Chiesa_di_San_Carlo_alle_Quattro_Fontane;Quattro_Fontane;Tempio_di_Quirino,41.90206389,12.490625,325.4855967,romar.iitrevi;templiantichidiroma;templiantichidiroma;romar.iitrevi;romar.iitrevi;romar.imonti;piazzediroma;chiesediromadelxviisecolo;architetturebarocchediroma;architetturescomparsediroma;romar.xviiicastropretorio;architetturescomparsediroma;fontanediroma;chiesenazionalidiroma;chiesediroma
29,Sepolcro_dei_Domizi;Porta_del_Popolo;Basilica_di_Santa_Maria_del_Popolo,41.91138889,12.47638889,301.8035714,muradiroma;mausoleidiroma;basilichediroma;romaq.iflaminio;architetturerinascimentalidiroma;architetturescomparsediroma;romar.ivcampomarzio;disposizionifonichediorganiacanne;chieserinascimentali
30,Palazzo_del_Laterano,41.88692,12.50587,589.1650485,architetturebarocchediroma;basilichediroma;romar.imonti;cittàdelvaticano;palazzidiroma
31,Villa_Medici,41.90833333,12.4825,593.804878,pincio;residenzeufficiali;palazzidiroma;architetturerinascimentalidiroma;romar.ivcampomarzio
32,Basilica_di_San_Vitale_(Roma),41.89944444,12.49083333,617.2386364,basilichediroma;chiesediroma;disposizionifonichediorganiacanne;chiesetitolaridiroma
