id;name;latitude;longitude
116;Chiesa_di_Sant'Agnese_in_Agone;41.8987722222;12.4725583333
117;Basilica_di_Santa_Maria_in_Cosmedin;41.8880555556;12.4816666667
118;Villa_Farnesina;41.8936111111;12.4675
119;Basilica_di_Santa_Croce_in_Gerusalemme;41.8877777778;12.5163888889
120;Piazza_Venezia;41.8963888889;12.4825
121;Palazzo_Barberini;41.9036111111;12.4902777778
122;Saint_Andrew's_Church_of_Scotland;41.9030555556;12.4916666667
123;Chiesa_di_San_Luigi_dei_francesi;41.8994444444;12.4747222222
124;Basilica_di_Sant'Agostino_in_Campo_Marzio;41.9008333333;12.4741666667
125;Cinecittà;41.8502277778;12.5752416667
126;Palazzo_Borghese;41.9038888889;12.4763888889
127;Palazzo_della_Cancelleria;41.896631;12.471623
128;Palazzo_Spada;41.8940277778;12.4718055556
129;Basilica_dei_Santi_Quattro_Coronati;41.8883333333;12.4983333333
130;Quattro_Fontane;41.90196;12.49071
131;Basilica_di_Santa_Maria_del_Popolo;41.9113888889;12.4763888889
132;Palazzo_del_Laterano;41.88692;12.50587
133;Villa_Medici;41.9083333333;12.4825
134;Basilica_di_San_Vitale_(Roma);41.8994444444;12.4908333333
135;Miliario_aureo;41.8925;12.4844444444
136;Passetto_di_Borgo;41.9033333333;12.4616666667
137;Chiesa_di_Santa_Maria_di_Loreto_(Roma);41.8959638889;12.4837555556
138;Palazzo_della_Farnesina;41.9372111111;12.4579055556
139;Porta_San_Paolo;41.8766722222;12.4814694444
140;Palazzo_Venezia;41.8961111111;12.4816666667
141;Arco_degli_Argentari;41.8895111111;12.482975
142;PalaLottomatica;41.82525;12.4665222222
143;Portico_degli_Dei_Consenti;41.8925583333;12.4837694444
144;Quadraro;41.86214;12.5502
145;Porta_Maggiore;41.891512;12.515144
146;Porta_Collina;41.9073388889;12.4987138889
147;Porta_del_Popolo;41.9115638889;12.4759833333
148;Porta_Pinciana;41.9094444444;12.4883333333
149;Lacus_Curtius;41.8923527778;12.4851027778
150;Garbatella;41.86054;12.48815
151;Carcere_Mamertino;41.8933333333;12.4844444444
152;Monte_del_Grano;41.8652722222;12.5492916667
153;Piazza_dei_Quiriti;41.9092361111;12.4645
154;Chiesa_di_Santa_Susanna_alle_Terme_di_Diocleziano;41.9042166667;12.4937388889
155;Via_Margutta;41.9089194444;12.479175
156;Pigneto;41.88659;12.53514
157;Via_della_Conciliazione;41.9023;12.462
158;Torresina_(zona_di_Roma);41.93023;12.3995
159;Tempio_della_Pace;41.8930083333;12.4875777778
160;Tempio_dei_Dioscuri;41.8916888889;12.48565
161;Porta_Alchemica;41.895501;12.503713
162;Basilica_di_Massenzio;41.891775;12.488446
163;Circo_di_Massenzio;41.8547222222;12.5224527778
164;Chiesa_di_Sant'Agata_dei_Goti;41.896425;12.4893388889
165;Carcere_di_Regina_Coeli;41.895389;12.46452
166;Basilica_di_Santa_Maria_sopra_Minerva;41.8980555556;12.4783333333
167;Villa_Torlonia_(Roma);41.9147888889;12.5112944444
168;Basilica_Giulia;41.891979;12.484884
169;Pontificia_Accademia_delle_Scienze;41.9041666667;12.4525
170;Domus_Tiberiana;41.8906777778;12.4864055556
171;Domus_Severiana;41.8866305556;12.4877777778
172;Basilica_di_Santo_Stefano_Rotondo_al_Celio;41.8844444444;12.4966666667
173;La_Parrocchietta;41.85014;12.43939
174;Villa_Gordiani;41.8941638889;12.5537694444
175;Colonna_di_Foca;41.8924638889;12.4848472222
176;Giubileo_dei_Giovani_1984;41.9022222222;12.4572222222
177;Giornata_Mondiale_della_Gioventù_1985;41.9022222222;12.4572222222
178;Magliana_Vecchia;41.83893;12.3974
179;Chiesa_di_San_Giorgio_in_Velabro;41.8895;12.48315
180;Collegio_Romano;41.89783;12.48044
181;Chiesa_di_Sant'Antonio_in_Campo_Marzio;41.9018111111;12.4744555556
182;Chiesa_di_Sant'Andrea_al_Quirinale;41.9005555556;12.4894444444
183;Chiesa_di_Santa_Maria_della_Vittoria_(Roma);41.9047222222;12.4941666667
184;Giardino_degli_Aranci;41.88594;12.479436
185;Chiesa_di_San_Francesco_a_Ripa;41.8847222222;12.4727777778
186;Corviale;41.85047;12.41824
187;Tempio_della_Concordia;41.89293;12.484245
188;Torrino;41.81482;12.44459
189;Mostacciano;41.8057;12.44755
190;Rogo_di_Primavalle;41.91505;12.41368
191;Basilica_di_Sant'Andrea_delle_Fratte;41.90362;12.48355
192;Capanne_del_Palatino;41.8891722222;12.484925
193;Basilica_di_Santa_Maria_degli_Angeli_e_dei_Martiri;41.9030555556;12.4969444444
194;Palazzo_Corsini_alla_Lungara;41.893329;12.466586
195;Chiesa_della_Trinità_dei_Monti;41.9063888889;12.4836111111
196;Tempio_di_Minerva_Medica;41.8940138889;12.512
197;Chiesa_di_Santa_Maria_in_Portico_in_Campitelli;41.89312;12.47949
198;Basilica_dei_Santi_Ambrogio_e_Carlo_al_Corso;41.9053777778;12.478075
